   59.7376976   # Box length L  
   10648        # Number of sites 
   0.00000000       27.1534996       32.5841980    
   0.00000000       29.8688488       35.2995491    
   2.71534991       29.8688488       32.5841980    
   2.71534991       27.1534996       35.2995491    
   1.35767496       28.5111732       33.9418755    
   1.35767496       31.2265244       36.6572227    
   4.07302475       31.2265244       33.9418755    
   4.07302475       28.5111732       36.6572227    
   0.00000000       27.1534996       38.0149002    
   0.00000000       29.8688488       40.7302475    
   2.71534991       29.8688488       38.0149002    
   2.71534991       27.1534996       40.7302475    
   1.35767496       28.5111732       39.3725739    
   1.35767496       31.2265244       42.0879250    
   4.07302475       31.2265244       39.3725739    
   4.07302475       28.5111732       42.0879250    
   0.00000000       27.1534996       43.4455986    
   0.00000000       29.8688488       46.1609497    
   2.71534991       29.8688488       43.4455986    
   2.71534991       27.1534996       46.1609497    
   1.35767496       28.5111732       44.8032722    
   1.35767496       31.2265244       47.5186234    
   4.07302475       31.2265244       44.8032722    
   4.07302475       28.5111732       47.5186234    
   0.00000000       27.1534996       48.8762970    
   0.00000000       29.8688488       51.5916481    
   2.71534991       29.8688488       48.8762970    
   2.71534991       27.1534996       51.5916481    
   1.35767496       28.5111732       50.2339745    
   1.35767496       31.2265244       52.9493217    
   4.07302475       31.2265244       50.2339745    
   4.07302475       28.5111732       52.9493217    
   0.00000000       27.1534996       54.3069992    
   0.00000000       29.8688488       57.0223465    
   2.71534991       29.8688488       54.3069992    
   2.71534991       27.1534996       57.0223465    
   1.35767496       28.5111732       55.6646729    
   1.35767496       31.2265244       58.3800240    
   4.07302475       31.2265244       55.6646729    
   4.07302475       28.5111732       58.3800240    
   0.00000000       32.5841980       0.00000000    
   0.00000000       35.2995491       2.71534991    
   2.71534991       35.2995491       0.00000000    
   2.71534991       32.5841980       2.71534991    
   1.35767496       33.9418755       1.35767496    
   1.35767496       36.6572227       4.07302475    
   4.07302475       36.6572227       1.35767496    
   4.07302475       33.9418755       4.07302475    
   0.00000000       32.5841980       5.43069983    
   0.00000000       35.2995491       8.14604950    
   2.71534991       35.2995491       5.43069983    
   2.71534991       32.5841980       8.14604950    
   1.35767496       33.9418755       6.78837490    
   1.35767496       36.6572227       9.50372505    
   4.07302475       36.6572227       6.78837490    
   4.07302475       33.9418755       9.50372505    
   0.00000000       32.5841980       10.8613997    
   0.00000000       35.2995491       13.5767498    
   2.71534991       35.2995491       10.8613997    
   2.71534991       32.5841980       13.5767498    
   1.35767496       33.9418755       12.2190742    
   1.35767496       36.6572227       14.9344244    
   4.07302475       36.6572227       12.2190742    
   4.07302475       33.9418755       14.9344244    
   0.00000000       32.5841980       16.2920990    
   0.00000000       35.2995491       19.0074501    
   2.71534991       35.2995491       16.2920990    
   2.71534991       32.5841980       19.0074501    
